id,item_id,page_number,title,loc_page_url,image,transcript,automatic_format_checks_passed,loc_review_flags,human_review_required
mss246610003_page_0001,mss246610003,1,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=1&st=image,pages/mss246610003_page_0001.jpg,pages/mss246610003_page_0001.txt,True,,True
mss246610003_page_0002,mss246610003,2,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=2&st=image,pages/mss246610003_page_0002.jpg,pages/mss246610003_page_0002.txt,True,,True
mss246610003_page_0003,mss246610003,3,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=3&st=image,pages/mss246610003_page_0003.jpg,pages/mss246610003_page_0003.txt,True,,True
mss246610003_page_0004,mss246610003,4,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=4&st=image,pages/mss246610003_page_0004.jpg,pages/mss246610003_page_0004.txt,True,,True
mss246610003_page_0005,mss246610003,5,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=5&st=image,pages/mss246610003_page_0005.jpg,pages/mss246610003_page_0005.txt,True,,True
mss246610003_page_0006,mss246610003,6,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=6&st=image,pages/mss246610003_page_0006.jpg,pages/mss246610003_page_0006.txt,True,,True
mss246610003_page_0007,mss246610003,7,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=7&st=image,pages/mss246610003_page_0007.jpg,pages/mss246610003_page_0007.txt,True,,True
mss246610003_page_0008,mss246610003,8,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=8&st=image,pages/mss246610003_page_0008.jpg,pages/mss246610003_page_0008.txt,True,,True
mss246610003_page_0009,mss246610003,9,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=9&st=image,pages/mss246610003_page_0009.jpg,pages/mss246610003_page_0009.txt,True,,True
mss246610003_page_0010,mss246610003,10,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=10&st=image,pages/mss246610003_page_0010.jpg,pages/mss246610003_page_0010.txt,True,,True
mss246610003_page_0011,mss246610003,11,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=11&st=image,pages/mss246610003_page_0011.jpg,pages/mss246610003_page_0011.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610003_page_0012,mss246610003,12,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=12&st=image,pages/mss246610003_page_0012.jpg,pages/mss246610003_page_0012.txt,True,,True
mss246610003_page_0013,mss246610003,13,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=13&st=image,pages/mss246610003_page_0013.jpg,pages/mss246610003_page_0013.txt,True,,True
mss246610003_page_0014,mss246610003,14,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=14&st=image,pages/mss246610003_page_0014.jpg,pages/mss246610003_page_0014.txt,True,,True
mss246610003_page_0015,mss246610003,15,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=15&st=image,pages/mss246610003_page_0015.jpg,pages/mss246610003_page_0015.txt,True,,True
mss246610003_page_0016,mss246610003,16,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=16&st=image,pages/mss246610003_page_0016.jpg,pages/mss246610003_page_0016.txt,True,,True
mss246610003_page_0017,mss246610003,17,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=17&st=image,pages/mss246610003_page_0017.jpg,pages/mss246610003_page_0017.txt,True,,True
mss246610003_page_0018,mss246610003,18,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1915, Jan. 17 - 1916, Aug. 30",https://www.loc.gov/resource/mss24661m.mss24661-001_0353_0505?sp=18&st=image,pages/mss246610003_page_0018.jpg,pages/mss246610003_page_0018.txt,True,possible_line_broken_word_requires_visual_review,True
