id,item_id,page_number,title,loc_page_url,image,transcript,generation_review_flags,human_review_required
mss246610044_page_0139,mss246610044,139,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=139&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0139.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0139.txt,,True
mss246610044_page_0140,mss246610044,140,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=140&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0140.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0140.txt,unclosed_historical_document,True
mss246610044_page_0141,mss246610044,141,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=141&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0141.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0141.txt,,True
mss246610044_page_0142,mss246610044,142,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=142&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0142.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0142.txt,,True
mss246610044_page_0143,mss246610044,143,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=143&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0143.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0143.txt,,True
mss246610044_page_0144,mss246610044,144,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=144&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0144.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0144.txt,,True
mss246610044_page_0145,mss246610044,145,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=145&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0145.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0145.txt,unclosed_historical_document,True
mss246610044_page_0146,mss246610044,146,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=146&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0146.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0146.txt,,True
mss246610044_page_0147,mss246610044,147,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=147&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0147.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0147.txt,,True
mss246610044_page_0148,mss246610044,148,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=148&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0148.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0148.txt,,True
mss246610044_page_0149,mss246610044,149,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=149&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0149.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0149.txt,,True
mss246610044_page_0150,mss246610044,150,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=150&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0150.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0150.txt,,True
mss246610044_page_0151,mss246610044,151,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=151&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0151.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0151.txt,,True
mss246610044_page_0152,mss246610044,152,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=152&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0152.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0152.txt,unclosed_historical_document,True
mss246610044_page_0153,mss246610044,153,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=153&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0153.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0153.txt,unclosed_historical_document,True
mss246610044_page_0154,mss246610044,154,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=154&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0154.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0154.txt,,True
mss246610044_page_0155,mss246610044,155,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=155&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0155.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0155.txt,,True
